,zz500
2014-01-06 13:20:00,-123.0
2014-01-06 13:21:00,-123.0
2014-01-06 13:22:00,-123.0
2014-01-06 13:23:00,-123.0
2014-01-06 13:24:00,-123.0
2014-01-06 13:25:00,-123.0
2014-01-06 13:26:00,-123.0
2014-01-06 13:27:00,-123.0
2014-01-06 13:28:00,-123.0
2014-01-06 13:29:00,-123.0
2014-01-06 13:30:00,-2.0
2014-01-06 13:31:00,-2.0
2014-01-06 13:32:00,122.0
2014-01-06 13:33:00,122.0
2014-01-06 13:34:00,122.0
2014-01-06 13:35:00,122.0
2014-01-06 13:36:00,122.0
2014-01-06 13:37:00,122.0
2014-01-06 13:38:00,122.0
2014-01-06 13:39:00,122.0
2014-01-06 13:40:00,122.0
2014-01-06 13:41:00,122.0
2014-01-06 13:42:00,122.0
2014-01-06 13:43:00,122.0
2014-01-06 13:44:00,122.0
2014-01-06 13:45:00,122.0
2014-01-06 13:46:00,122.0
2014-01-06 13:47:00,122.0
2014-01-06 13:48:00,122.0
2014-01-06 13:49:00,122.0
2014-01-06 13:50:00,122.0
2014-01-06 13:51:00,122.0
2014-01-06 13:52:00,122.0
2014-01-06 13:53:00,122.0
2014-01-06 13:54:00,122.0
2014-01-06 13:55:00,122.0
2014-01-06 13:56:00,0.0
2014-01-06 13:57:00,0.0
2014-01-06 13:58:00,-123.0
2014-01-06 13:59:00,-123.0
2014-01-06 14:00:00,-122.0
2014-01-06 14:01:00,-122.0
2014-01-06 14:02:00,-122.0
2014-01-06 14:03:00,-122.0
2014-01-06 14:04:00,-122.0
2014-01-06 14:05:00,-122.0
2014-01-06 14:06:00,-122.0
2014-01-06 14:07:00,-122.0
2014-01-06 14:08:00,-123.0
2014-01-06 14:09:00,-123.0
2014-01-06 14:10:00,-122.0
2014-01-06 14:11:00,-122.0
2014-01-06 14:12:00,-122.0
2014-01-06 14:13:00,-122.0
2014-01-06 14:14:00,-122.0
2014-01-06 14:15:00,-122.0
2014-01-06 14:16:00,-123.0
2014-01-06 14:17:00,-123.0
2014-01-06 14:18:00,-123.0
2014-01-06 14:19:00,-123.0
2014-01-06 14:20:00,-2.0
2014-01-06 14:21:00,-2.0
2014-01-06 14:22:00,122.0
2014-01-06 14:23:00,122.0
2014-01-06 14:24:00,122.0
2014-01-06 14:25:00,122.0
2014-01-06 14:26:00,122.0
2014-01-06 14:27:00,122.0
2014-01-06 14:28:00,122.0
