,zz500
2014-01-06 09:35:00,3782.12
2014-01-06 09:36:00,3777.27
2014-01-06 09:37:00,3774.21
2014-01-06 09:38:00,3775.51
2014-01-06 09:39:00,3776.52
2014-01-06 09:40:00,3777.03
2014-01-06 09:41:00,3776.09
2014-01-06 09:42:00,3772.04
2014-01-06 09:43:00,3767.78
2014-01-06 09:44:00,3764.97
2014-01-06 09:45:00,3763.42
2014-01-06 09:46:00,3762.26
2014-01-06 09:47:00,3762.44
2014-01-06 09:48:00,3764.25
2014-01-06 09:49:00,3765.6
2014-01-06 09:50:00,3766.59
2014-01-06 09:51:00,3767.23
2014-01-06 09:52:00,3766.33
2014-01-06 09:53:00,3764.49
2014-01-06 09:54:00,3763.74
2014-01-06 09:55:00,3761.54
2014-01-06 09:56:00,3757.45
2014-01-06 09:57:00,3754.3
2014-01-06 09:58:00,3753.6
2014-01-06 09:59:00,3753.98
2014-01-06 10:00:00,3754.98
2014-01-06 10:01:00,3755.93
2014-01-06 10:02:00,3759.0
2014-01-06 10:03:00,3761.1
2014-01-06 10:04:00,3762.2
2014-01-06 10:05:00,3764.34
2014-01-06 10:06:00,3763.61
2014-01-06 10:07:00,3764.41
2014-01-06 10:08:00,3765.02
2014-01-06 10:09:00,3762.91
2014-01-06 10:10:00,3760.65
2014-01-06 10:11:00,3760.71
2014-01-06 10:12:00,3761.25
2014-01-06 10:13:00,3760.75
2014-01-06 10:14:00,3761.48
2014-01-06 10:15:00,3761.47
2014-01-06 10:16:00,3760.84
2014-01-06 10:17:00,3760.23
2014-01-06 10:18:00,3758.06
2014-01-06 10:19:00,3754.76
2014-01-06 10:20:00,3753.59
2014-01-06 10:21:00,3752.36
2014-01-06 10:22:00,3750.97
2014-01-06 10:23:00,3749.6
2014-01-06 10:24:00,3746.79
2014-01-06 10:25:00,3743.91
2014-01-06 10:26:00,3740.67
2014-01-06 10:27:00,3739.31
2014-01-06 10:28:00,3738.78
2014-01-06 10:29:00,3739.48
2014-01-06 10:30:00,3739.94
2014-01-06 10:31:00,3740.41
2014-01-06 10:32:00,3742.07
2014-01-06 10:33:00,3743.89
2014-01-06 10:34:00,3745.3
2014-01-06 10:35:00,3747.27
2014-01-06 10:36:00,3748.95
2014-01-06 10:37:00,3748.15
2014-01-06 10:38:00,3748.45
2014-01-06 10:39:00,3749.0
2014-01-06 10:40:00,3748.93
2014-01-06 10:41:00,3748.61
2014-01-06 10:42:00,3748.83
2014-01-06 10:43:00,3748.18
2014-01-06 10:44:00,3748.81
2014-01-06 10:45:00,3748.12
2014-01-06 10:46:00,3746.02
2014-01-06 10:47:00,3744.78
2014-01-06 10:48:00,3743.86
2014-01-06 10:49:00,3742.82
2014-01-06 10:50:00,3741.51
2014-01-06 10:51:00,3742.04
2014-01-06 10:52:00,3741.31
2014-01-06 10:53:00,3742.05
2014-01-06 10:54:00,3741.45
2014-01-06 10:55:00,3741.16
2014-01-06 10:56:00,3741.71
2014-01-06 10:57:00,3742.13
2014-01-06 10:58:00,3741.18
2014-01-06 10:59:00,3740.99
2014-01-06 11:00:00,3740.12
2014-01-06 11:01:00,3739.36
2014-01-06 11:02:00,3738.34
2014-01-06 11:03:00,3736.91
2014-01-06 11:04:00,3735.35
2014-01-06 11:05:00,3733.95
2014-01-06 11:06:00,3733.7
2014-01-06 11:07:00,3732.37
2014-01-06 11:08:00,3730.75
2014-01-06 11:09:00,3728.51
2014-01-06 11:10:00,3726.67
2014-01-06 11:11:00,3727.55
2014-01-06 11:12:00,3728.41
2014-01-06 11:13:00,3728.83
2014-01-06 11:14:00,3730.35
2014-01-06 11:15:00,3732.84
2014-01-06 11:16:00,3734.01
2014-01-06 11:17:00,3735.46
2014-01-06 11:18:00,3737.34
2014-01-06 11:19:00,3737.67
2014-01-06 11:20:00,3738.01
2014-01-06 11:21:00,3737.66
2014-01-06 11:22:00,3737.01
2014-01-06 11:23:00,3737.69
2014-01-06 11:24:00,3737.62
2014-01-06 11:25:00,3736.86
2014-01-06 11:26:00,3736.74
2014-01-06 11:27:00,3737.0
2014-01-06 11:28:00,3736.58
2014-01-06 11:29:00,3736.9
2014-01-06 11:30:00,3737.62
2014-01-06 13:01:00,3737.72
2014-01-06 13:02:00,3737.79
2014-01-06 13:03:00,3738.14
2014-01-06 13:04:00,3738.3
2014-01-06 13:05:00,3737.72
2014-01-06 13:06:00,3736.69
2014-01-06 13:07:00,3736.61
2014-01-06 13:08:00,3736.88
2014-01-06 13:09:00,3736.53
2014-01-06 13:10:00,3736.91
2014-01-06 13:11:00,3737.33
2014-01-06 13:12:00,3737.38
2014-01-06 13:13:00,3738.76
2014-01-06 13:14:00,3739.87
2014-01-06 13:15:00,3740.84
2014-01-06 13:16:00,3742.85
2014-01-06 13:17:00,3744.33
2014-01-06 13:18:00,3744.55
2014-01-06 13:19:00,3745.07
2014-01-06 13:20:00,3745.24
2014-01-06 13:21:00,3745.18
2014-01-06 13:22:00,3745.19
2014-01-06 13:23:00,3745.2
2014-01-06 13:24:00,3745.03
2014-01-06 13:25:00,3745.05
2014-01-06 13:26:00,3744.24
2014-01-06 13:27:00,3743.71
2014-01-06 13:28:00,3743.85
2014-01-06 13:29:00,3743.28
2014-01-06 13:30:00,3742.11
2014-01-06 13:31:00,3741.7
2014-01-06 13:32:00,3741.8
2014-01-06 13:33:00,3741.36
2014-01-06 13:34:00,3741.55
2014-01-06 13:35:00,3741.37
2014-01-06 13:36:00,3740.38
2014-01-06 13:37:00,3739.94
2014-01-06 13:38:00,3738.51
2014-01-06 13:39:00,3736.85
2014-01-06 13:40:00,3735.33
2014-01-06 13:41:00,3734.81
2014-01-06 13:42:00,3733.97
2014-01-06 13:43:00,3734.46
2014-01-06 13:44:00,3733.88
2014-01-06 13:45:00,3733.44
2014-01-06 13:46:00,3732.97
2014-01-06 13:47:00,3733.05
2014-01-06 13:48:00,3733.07
2014-01-06 13:49:00,3732.47
2014-01-06 13:50:00,3732.16
2014-01-06 13:51:00,3731.16
2014-01-06 13:52:00,3732.25
2014-01-06 13:53:00,3732.61
2014-01-06 13:54:00,3731.39
2014-01-06 13:55:00,3731.73
2014-01-06 13:56:00,3731.13
2014-01-06 13:57:00,3730.68
2014-01-06 13:58:00,3732.61
2014-01-06 13:59:00,3733.05
2014-01-06 14:00:00,3732.99
2014-01-06 14:01:00,3733.27
2014-01-06 14:02:00,3733.56
2014-01-06 14:03:00,3733.55
2014-01-06 14:04:00,3733.51
2014-01-06 14:05:00,3733.22
2014-01-06 14:06:00,3733.74
2014-01-06 14:07:00,3734.41
2014-01-06 14:08:00,3731.1
2014-01-06 14:09:00,3733.72
2014-01-06 14:10:00,3733.65
2014-01-06 14:11:00,3735.03
2014-01-06 14:12:00,3734.05
2014-01-06 14:13:00,3735.63
2014-01-06 14:14:00,3733.37
2014-01-06 14:15:00,3732.41
2014-01-06 14:16:00,3732.2
2014-01-06 14:17:00,3731.8
2014-01-06 14:18:00,3729.25
2014-01-06 14:19:00,3726.79
2014-01-06 14:20:00,3721.56
2014-01-06 14:21:00,3718.39
2014-01-06 14:22:00,3715.73
2014-01-06 14:23:00,3713.71
2014-01-06 14:24:00,3713.07
2014-01-06 14:25:00,3714.07
2014-01-06 14:26:00,3715.61
2014-01-06 14:27:00,3716.48
2014-01-06 14:28:00,3718.92
2014-01-06 14:29:00,3720.49
2014-01-06 14:30:00,3721.34
2014-01-06 14:31:00,3722.92
2014-01-06 14:32:00,3723.56
2014-01-06 14:33:00,3724.77
2014-01-06 14:34:00,3725.38
2014-01-06 14:35:00,3724.41
2014-01-06 14:36:00,3724.09
2014-01-06 14:37:00,3724.48
2014-01-06 14:38:00,3724.6
2014-01-06 14:39:00,3724.52
2014-01-06 14:40:00,3723.56
2014-01-06 14:41:00,3722.91
2014-01-06 14:42:00,3721.56
2014-01-06 14:43:00,3720.74
2014-01-06 14:44:00,3719.72
2014-01-06 14:45:00,3718.76
2014-01-06 14:46:00,3717.84
2014-01-06 14:47:00,3716.1
2014-01-06 14:48:00,3714.4
2014-01-06 14:49:00,3713.08
2014-01-06 14:50:00,3711.72
2014-01-06 14:51:00,3710.9
2014-01-06 14:52:00,3710.29
2014-01-06 14:53:00,3710.57
2014-01-06 14:54:00,3710.54
2014-01-06 14:55:00,3710.85
2014-01-06 14:56:00,3711.46
2014-01-06 14:57:00,3711.08
2014-01-06 14:58:00,3710.93
2014-01-06 14:59:00,3710.73
2014-01-06 15:00:00,3710.9
2014-01-07 09:31:00,3690.31
2014-01-07 09:32:00,3689.01
2014-01-07 09:33:00,3690.34
2014-01-07 09:34:00,3693.41
2014-01-07 09:35:00,3696.47
2014-01-07 09:36:00,3698.83
2014-01-07 09:37:00,3702.66
2014-01-07 09:38:00,3706.2
2014-01-07 09:39:00,3708.74
2014-01-07 09:40:00,3713.23
2014-01-07 09:41:00,3717.9
2014-01-07 09:42:00,3719.73
2014-01-07 09:43:00,3718.72
2014-01-07 09:44:00,3717.27
2014-01-07 09:45:00,3716.44
